"ATARI 2600 HARDWARE REFERENCE GUIDE",,,,
,,,,
"Colour Palette Colour Table",,,,
,,,,
"COLU_DEC","COLU_HEX","NTSC","PAL","SECAM"
0,"$00","#000000","#000000","#000000"
2,"$02","#404040","#282828","#2121FF"
4,"$04","#6C6C6C","#505050","#F03C79"
6,"$06","#909090","#747474","#FF50FF"
8,"$08","#B0B0B0","#949494","#7FFF00"
10,"$0A","#C8C8C8","#B4B4B4","#7FFFFF"
12,"$0C","#DCDCDC","#D0D0D0","#FFFF3F"
14,"$0E","#ECECEC","#ECECEC","#FFFFFF"
16,"$10","#444400","#000000","#000000"
18,"$12","#646410","#282828","#2121FF"
20,"$14","#848424","#505050","#F03C79"
22,"$16","#A0A034","#747474","#FF50FF"
24,"$18","#B8B840","#949494","#7FFF00"
26,"$1A","#D0D050","#B4B4B4","#7FFFFF"
28,"$1C","#E8E85C","#D0D0D0","#FFFF3F"
30,"$1E","#FCFC68","#ECECEC","#FFFFFF"
32,"$20","#702800","#805800","#000000"
34,"$22","#844414","#947020","#2121FF"
36,"$24","#985C28","#A8843C","#F03C79"
38,"$26","#AC783C","#BC9C58","#FF50FF"
40,"$28","#BC8C4C","#CCAC70","#7FFF00"
42,"$2A","#CCA05C","#DCC084","#7FFFFF"
44,"$2C","#DCB468","#ECD09C","#FFFF3F"
46,"$2E","#ECC878","#FCE0B0","#FFFFFF"
48,"$30","#841800","#445C00","#000000"
50,"$32","#983418","#5C7820","#2121FF"
52,"$34","#AC5030","#74903C","#F03C79"
54,"$36","#C06848","#8CAC58","#FF50FF"
56,"$38","#D0805C","#A0C070","#7FFF00"
58,"$3A","#E09470","#B0D484","#7FFFFF"
60,"$3C","#ECA880","#C4E89C","#FFFF3F"
62,"$3E","#FCBC94","#D4FCB0","#FFFFFF"
64,"$40","#880000","#703400","#000000"
66,"$42","#9C2020","#885020","#2121FF"
68,"$44","#B03C3C","#A0683C","#F03C79"
70,"$46","#C05858","#B48458","#FF50FF"
72,"$48","#D07070","#C89870","#7FFF00"
74,"$4A","#E08888","#DCAC84","#7FFFFF"
76,"$4C","#ECA0A0","#ECC09C","#FFFF3F"
78,"$4E","#FCB4B4","#FCD4B0","#FFFFFF"
80,"$50","#78005C","#006414","#000000"
82,"$52","#8C2074","#208034","#2121FF"
84,"$54","#A03C88","#3C9850","#F03C79"
86,"$56","#B0589C","#58B06C","#FF50FF"
88,"$58","#C070B0","#70C484","#7FFF00"
90,"$5A","#D084C0","#84D89C","#7FFFFF"
92,"$5C","#DC9CD0","#9CE8B4","#FFFF3F"
94,"$5E","#ECB0E0","#B0FCC8","#FFFFFF"
96,"$60","#480078","#700014","#000000"
98,"$62","#602090","#882034","#2121FF"
100,"$64","#783CA4","#A03C50","#F03C79"
102,"$66","#8C58B8","#B4586C","#FF50FF"
104,"$68","#A070CC","#C87084","#7FFF00"
106,"$6A","#B484DC","#DC849C","#7FFFFF"
108,"$6C","#C49CEC","#EC9CB4","#FFFF3F"
110,"$6E","#D4B0FC","#FCB0C8","#FFFFFF"
112,"$70","#140084","#005C5C","#000000"
114,"$72","#302098","#207474","#2121FF"
116,"$74","#4C3CAC","#3C8C8C","#F03C79"
118,"$76","#6858C0","#58A4A4","#FF50FF"
120,"$78","#7C70D0","#70B8B8","#7FFF00"
122,"$7A","#9488E0","#84C8C8","#7FFFFF"
124,"$7C","#A8A0EC","#9CDCDC","#FFFF3F"
126,"$7E","#BCB4FC","#B0ECEC","#FFFFFF"
128,"$80","#000088","#70005C","#000000"
130,"$82","#1C209C","#842074","#2121FF"
132,"$84","#3840B0","#943C88","#F03C79"
134,"$86","#505CC0","#A8589C","#FF50FF"
136,"$88","#6874D0","#B470B0","#7FFF00"
138,"$8A","#7C8CE0","#C484C0","#7FFFFF"
140,"$8C","#90A4EC","#D09CD0","#FFFF3F"
142,"$8E","#A4B8FC","#E0B0E0","#FFFFFF"
144,"$90","#00187C","#003C70","#000000"
146,"$92","#1C3890","#1C5888","#2121FF"
148,"$94","#3854A8","#3874A0","#F03C79"
150,"$96","#5070BC","#508CB4","#FF50FF"
152,"$98","#6888CC","#68A4C8","#7FFF00"
154,"$9A","#7C9CDC","#7CB8DC","#7FFFFF"
156,"$9C","#90B4EC","#90CCEC","#FFFF3F"
158,"$9E","#A4C8FC","#A4E0FC","#FFFFFF"
160,"$A0","#002C5C","#580070","#000000"
162,"$A2","#1C4C78","#6C2088","#2121FF"
164,"$A4","#386890","#803CA0","#F03C79"
166,"$A6","#5084AC","#9458B4","#FF50FF"
168,"$A8","#689CC0","#A470C8","#7FFF00"
170,"$AA","#7CB4D4","#B484DC","#7FFFFF"
172,"$AC","#90CCE8","#C49CEC","#FFFF3F"
174,"$AE","#A4E0FC","#D4B0FC","#FFFFFF"
176,"$B0","#003C2C","#002070","#000000"
178,"$B2","#1C5C48","#1C3C88","#2121FF"
180,"$B4","#387C64","#3858A0","#F03C79"
182,"$B6","#509C80","#5074B4","#FF50FF"
184,"$B8","#68B494","#6888C8","#7FFF00"
186,"$BA","#7CD0AC","#7CA0DC","#7FFFFF"
188,"$BC","#90E4C0","#90B4EC","#FFFF3F"
190,"$BE","#A4FCD4","#A4C8FC","#FFFFFF"
192,"$C0","#003C00","#3C0080","#000000"
194,"$C2","#205C20","#542094","#2121FF"
196,"$C4","#407C40","#6C3CA8","#F03C79"
198,"$C6","#5C9C5C","#8058BC","#FF50FF"
200,"$C8","#74B474","#9470CC","#7FFF00"
202,"$CA","#8CD08C","#A884DC","#7FFFFF"
204,"$CC","#A4E4A4","#B89CEC","#FFFF3F"
206,"$CE","#B8FCB8","#C8B0FC","#FFFFFF"
208,"$D0","#143800","#000088","#000000"
210,"$D2","#345C1C","#20209C","#2121FF"
212,"$D4","#507C38","#3C3CB0","#F03C79"
214,"$D6","#6C9850","#5858C0","#FF50FF"
216,"$D8","#84B468","#7070D0","#7FFF00"
218,"$DA","#9CCC7C","#8484E0","#7FFFFF"
220,"$DC","#B4E490","#9C9CEC","#FFFF3F"
222,"$DE","#C8FCA4","#B0B0FC","#FFFFFF"
224,"$E0","#2C3000","#000000","#000000"
226,"$E2","#4C501C","#282828","#2121FF"
228,"$E4","#687034","#505050","#F03C79"
230,"$E6","#848C4C","#747474","#FF50FF"
232,"$E8","#9CA864","#949494","#7FFF00"
234,"$EA","#B4C078","#B4B4B4","#7FFFFF"
236,"$EC","#CCD488","#D0D0D0","#FFFF3F"
238,"$EE","#E0EC9C","#ECECEC","#FFFFFF"
240,"$F0","#442800","#000000","#000000"
242,"$F2","#644818","#282828","#2121FF"
244,"$F4","#846830","#505050","#F03C79"
246,"$F6","#A08444","#747474","#FF50FF"
248,"$F8","#B89C58","#949494","#7FFF00"
250,"$FA","#D0B46C","#B4B4B4","#7FFFFF"
252,"$FC","#E8CC7C","#D0D0D0","#FFFF3F"
254,"$FE","#FCE08C","#ECECEC","#FFFFFF"
